transaction_id,sale_date,sale_time,store_name,product_name,category,quantity,unit_price,discount_percent,tax,amount,payment_mode,customer_type,employee_id,created_at
d453652c-0bdd-465b-a5f0-235f5a277cac,2026-07-01,17:44:23,Pune,MacBook Pro M4,Mac,6,220000,7,220968.0,1448568.0,UPI,Corporate,1071,2026-07-01 00:05:46
a6bb2ef5-1997-4940-b656-ad7b148c4464,2026-07-01,10:36:39,Pune,AirPods 4,Audio,5,15000,1,13365.0,87615.0,UPI,New,1041,2026-07-01 09:18:51
86249b9a-9372-42d3-9477-b00f105de0c9,2026-07-01,00:16:27,Pune,Apple Pencil Pro,Accessory,2,12000,10,3888.0,25488.0,Net Banking,New,1003,2026-07-01 15:58:01
09330fd7-bff3-46be-af09-3e7cdf72d0c0,2026-07-01,13:23:49,Pune,iPad Pro,iPad,4,110000,5,75240.0,493240.0,Cash,Corporate,1059,2026-07-01 14:12:26
05703515-8a87-4e62-b911-e4772ce90c0d,2026-07-01,10:47:47,Pune,iPhone 16,iPhone,1,80000,3,13968.0,91568.0,UPI,New,1040,2026-07-01 18:49:06
accea272-0c55-42e1-a8ae-12162821507d,2026-07-01,04:58:32,Pune,iPad Air,iPad,7,60000,12,66528.0,-5000.0,Credit Card,Corporate,1078,2026-07-01 00:27:26
a0224e50-5a3e-46f7-b81b-8c9beb82c5bf,2026-07-01,04:41:05,Pune,iPad Pro,iPad,7,110000,4,133056.0,872256.0,Net Banking,Corporate,1072,2026-07-01 09:11:38
39605e0c-158b-419e-86de-8e7258741e3d,2026-07-01,09:52:05,Pune,MacBook Pro M4,Mac,5,220000,9,180180.0,1181180.0,Credit Card,Existing,1073,2026-07-01 01:59:05
3a0d247d-7295-425d-856d-d1bbec08126a,2026-07-01,12:48:13,Pune,MacBook Pro M4,Mac,7,220000,2,271656.0,1780856.0,Debit Card,Corporate,1058,2026-07-01 12:35:36
3f6f82d0-2748-4db7-84ad-d5bdf8182c86,2026-07-01,13:13:30,Pune,iPhone 16 Pro Max,iPhone,3,150000,7,75330.0,493830.0,Apple Pay,Corporate,1028,2026-07-01 01:36:23
c28d937e-8e17-4fd7-99a9-27849ff78757,2026-07-01,23:19:15,Pune,,Mac,8,220000,5,300960.0,1972960.0,UPI,Existing,1012,2026-07-01 01:46:43
9773e34b-cba2-462d-b622-2338f8b8359d,2026-07-01,08:37:35,Pune,Apple TV,Accessory,2,18000,7,6026.4,39506.4,Cash,Existing,1040,2026-07-01 03:21:43
5f2d287d-bcd1-471c-93a9-a14ea202f74c,2026-07-01,12:22:20,Pune,iPhone 16 Pro Max,iPhone,4,150000,3,104760.0,686760.0,Debit Card,Existing,1027,2026-07-01 06:27:54
9d888cf5-8280-439c-b3db-fa2d359a634c,2026-07-01,21:15:22,Pune,iPhone 16 Pro Max,iPhone,9,150000,11,216270.0,1417770.0,Net Banking,New,1047,2026-07-01 00:37:42
bf1ea747-072a-451e-a560-77191bae60d1,2026-07-01,08:39:54,Pune,Apple TV,Accessory,9,18000,13,25369.2,166309.2,UPI,Existing,1063,2026-07-01 21:18:56
11a473ae-5c55-4aa6-8a7a-cb60927fa9a5,2026-07-01,14:50:28,Pune,Apple Watch Ultra,Watch,1,90000,13,14094.0,92394.0,Debit Card,Existing,1012,2026-07-01 14:17:34
3c4bcbd8-7881-47b8-a5d5-7d2825f76f98,2026-07-01,12:18:33,Pune,MacBook Air M4,Mac,4,125000,5,85500.0,560500.0,Credit Card,Corporate,1060,2026-07-01 19:50:44
77fc7ad9-6554-4ceb-af00-097ce86c1e2b,2026-07-01,11:50:17,Pune,AirPods Pro,Audio,9,25000,5,38475.0,252225.0,Debit Card,Corporate,1007,2026-07-01 15:53:42
e678cffe-1ce8-4981-86a5-e9e601056e69,2026-07-01,06:32:52,Pune,iPad Air,iPad,10,60000,3,104760.0,686760.0,Apple Pay,New,1035,2026-07-01 07:55:49
605fd0dd-c742-4744-aa0f-18307a8f1f8f,2026-07-01,12:05:56,Pune,iPhone 16 Pro Max,iPhone,5,150000,9,122850.0,805350.0,Apple Pay,Corporate,1016,2026-07-01 02:05:22
0cddcaa4-0404-421e-bc72-6756f2c09481,2026-07-01,11:43:23,PUNE,iPad Air,iPad,10,60000,8,99360.0,651360.0,Net Banking,Existing,1039,2026-07-01 14:14:38
7d49fb22-d8c8-4883-b8d6-f32dd7be8c63,2026-07-01,02:43:34,Pune,iPhone 16 Pro Max,iPhone,8,150000,10,194400.0,1274400.0,Credit Card,New,1037,2026-07-01 18:50:48
6cc83c68-a332-4f08-8403-f1f03527a48e,2026-07-01,09:58:03,Pune,AirPods 4,Audio,10,15000,12,23760.0,155760.0,Cash,Existing,1092,2026-07-01 15:45:25
8fbedbfd-889a-45a1-8c17-a9624f1a5b87,2026-07-01,02:07:44,Pune,Apple Pencil Pro,Accessory,6,12000,10,11664.0,76464.0,Credit Card,Corporate,1052,2026-07-01 03:55:29
3ed2ee3b-7c8a-4092-95b8-f5db97905f7e,2026-07-01,23:23:42,Pune,MacBook Pro M4,Mac,6,220000,13,206712.0,1355112.0,UPI,Existing,1077,2026-07-01 10:02:25
cf9c0083-7710-4ebf-bffd-84b08d3ad56a,2026-07-01,00:56:31,Pune,AirPods 4,Audio,4,15000,1,10692.0,70092.0,Cash,Corporate,1001,2026-07-01 02:29:22
f72e6573-5400-4619-bc33-0048f0c23fb7,2026-07-01,19:56:54,Pune,iPad Pro,iPad,1,110000,6,18612.0,122012.0,Cash,Corporate,1100,2026-07-01 21:40:31
